0,-0.27594
0.1,0.68307
0.2,0.037993
0.3,2.8576
0.4,2.8698
0.5,3.2183
0.6,3.5084
0.7,3.8542
0.8,4.1281
0.9,3.2749
1,3.3444
1.1,2.214
1.2,5.2583
1.3,4.6425
1.4,4.4632
1.5,5.5662
1.6,8.3224
1.7,3.2579
1.8,3.0526
1.9,4.0684
2,4.2579
2.1,2.9107
2.2,2.0623
2.3,2.2061
2.4,4.546
2.5,1.7995
2.6,1.8453
2.7,0.81096
2.8,2.9508
2.9,0.12414
3,0.23553
3.1,-2.1034
3.2,0.11445
3.3,-1.2839
3.4,-1.3159
3.5,1.1024
3.6,-3.1728
3.7,-0.99293
3.8,-3.1722
3.9,-1.7635
4,-4.5338
4.1,-1.6928
4.2,-5.8857
4.3,-3.4636
4.4,-4.0264
4.5,-5.3715
4.6,-4.4591
4.7,-2.9078
4.8,-4.9618
4.9,-3.7619
5,-3.9873
5.1,-5.8965
5.2,-5.5026
5.3,-3.6452
5.4,-5.1846
5.5,-4.1096
5.6,-3.161
5.7,-3.901
5.8,-1.1908
5.9,-1.6061
6,-1.9572
6.1,-0.86701
6.2,-0.93991
6.3,0.16752
6.4,2.3087
6.5,-1.0921
6.6,-0.23552
6.7,1.8555
6.8,3.0985
6.9,2.7508
7,3.8257
7.1,3.4663
7.2,2.8741
7.3,4.0745
7.4,5.4407
7.5,5.4389
7.6,5.0627
7.7,4.1024
7.8,5.3203
7.9,4.8097
8,4.2353
8.1,4.2341
8.2,6.887
8.3,5.8058
8.4,4.8918
8.5,5.289
8.6,3.916
8.7,2.1091
8.8,2.0797
8.9,0.33576
9,1.7279
9.1,2.291
9.2,0.48492
9.3,0.096449
9.4,0.44722
9.5,-0.94646
9.6,-2.1757
9.7,-2.0766
9.8,-1.3586
9.9,-3.3129
10,-2.2799
10.1,-2.8132
10.2,-2.4555
10.3,-3.7445
10.4,-3.1472
10.5,-4.9371
10.6,-3.62
10.7,-4.3975
10.8,-6.535
10.9,-3.8628
11,-5.1371
11.1,-6.0144
11.2,-4.2835
11.3,-4.3111
11.4,-4.2661
11.5,-4.8621
11.6,-3.4533
11.7,-5.1476
11.8,-4.097
11.9,-1.332
12,-3.0512
12.1,-0.98286
12.2,-1.4878
12.3,-1.868
12.4,-1.1429
12.5,-0.35847
12.6,-0.33788
12.7,2.1419
12.8,0.2628
12.9,0.56489
13,2.5521
13.1,2.9757
13.2,4.256
13.3,0.71965
13.4,3.5248
13.5,4.3802
13.6,3.37
13.7,3.9545
13.8,5.4238
13.9,5.4867
14,5.2363
14.1,3.5142
14.2,5.6247
14.3,5.1725
14.4,6.5077
14.5,5.3751
14.6,3.1656
14.7,4.8658
14.8,3.8495
14.9,3.558
15,3.2925
15.1,2.6
15.2,2.0121
15.3,1.1842
15.4,-0.21507
15.5,1.7709
15.6,-1.4146
15.7,1.7931
15.8,-1.0949
15.9,-1.1738
16,-1.8763
16.1,-1.5534
16.2,-2.3819
16.3,-4.1898
16.4,-5.5145
16.5,-3.7983
16.6,-4.0352
16.7,-2.7175
16.8,-4.8647
16.9,-4.372
17,-4.1898
17.1,-6.3394
17.2,-4.2487
17.3,-5.1378
17.4,-6.1727
17.5,-5.0016
17.6,-5.2364
17.7,-2.3243
17.8,-4.6332
17.9,-3.3883
18,-2.5857
18.1,-2.0191
18.2,-4.5093
18.3,-3.2804
18.4,-3.8677
18.5,-1.7888
18.6,-0.37837
18.7,-0.44657
18.8,-1.3294
18.9,2.0797
19,0.1401
19.1,2.6686
19.2,1.7242
19.3,3.1678
19.4,3.4042
19.5,6.3319
19.6,3.5471
19.7,3.0886
19.8,5.3422
19.9,4.0202
20,4.1603
20.1,4.4856
20.2,4.6633
20.3,5.3397
20.4,5.8638
20.5,3.8753
20.6,5.6843
20.7,3.8889
20.8,3.7632
20.9,1.2599
21,4.3807
21.1,4.7899
21.2,3.6302
21.3,3.2764
21.4,2.7758
21.5,3.0672
21.6,2.686
21.7,1.7604
21.8,0.95623
21.9,-1.0091
22,0.61763
22.1,-1.9015
22.2,-1.5958
22.3,-2.5661
22.4,-1.4526
22.5,-3.7295
22.6,-3.0751
22.7,-2.795
22.8,-2.6011
22.9,-4.6156
23,-4.0953
23.1,-5.1503
23.2,-5.9207
23.3,-4.0309
23.4,-4.5259
23.5,-4.0948
23.6,-5.6477
23.7,-3.8963
23.8,-6.0319
